"Iteration","dim: 256 - _step","dim: 256 - _step__MIN","dim: 256 - _step__MAX","dim: 256 - benchmarks/kl","dim: 256 - benchmarks/kl__MIN","dim: 256 - benchmarks/kl__MAX","dim: 256 - benchmarks/baseline_kl","dim: 256 - benchmarks/baseline_kl__MIN","dim: 256 - benchmarks/baseline_kl__MAX","dim: 64 - _step","dim: 64 - _step__MIN","dim: 64 - _step__MAX","dim: 64 - benchmarks/kl","dim: 64 - benchmarks/kl__MIN","dim: 64 - benchmarks/kl__MAX","dim: 64 - benchmarks/baseline_kl","dim: 64 - benchmarks/baseline_kl__MIN","dim: 64 - benchmarks/baseline_kl__MAX","dim: 32 - _step","dim: 32 - _step__MIN","dim: 32 - _step__MAX","dim: 32 - benchmarks/kl","dim: 32 - benchmarks/kl__MIN","dim: 32 - benchmarks/kl__MAX","dim: 32 - benchmarks/baseline_kl","dim: 32 - benchmarks/baseline_kl__MIN","dim: 32 - benchmarks/baseline_kl__MAX","dim: 16 - _step","dim: 16 - _step__MIN","dim: 16 - _step__MAX","dim: 16 - benchmarks/kl","dim: 16 - benchmarks/kl__MIN","dim: 16 - benchmarks/kl__MAX","dim: 16 - benchmarks/baseline_kl","dim: 16 - benchmarks/baseline_kl__MIN","dim: 16 - benchmarks/baseline_kl__MAX"
"1","421","421","421","196.0450439453125","196.0450439453125","196.0450439453125","0.2431992143392563","0.2431992143392563","0.2431992143392563","421","421","421","593.8818969726562","593.8818969726562","593.8818969726562","0.05669580399990082","0.05669580399990082","0.05669580399990082","421","421","421","774.4447021484375","774.4447021484375","774.4447021484375","0.03319643810391426","0.03319643810391426","0.03319643810391426","609","419","799","605.965576171875","599.5672607421875","609.8643188476562","0.01086203008890152","0.01086203008890152","0.01086203008890152"
"2","1262","1262","1262","230.49118041992188","230.49118041992188","230.49118041992188","0.2431992143392563","0.2431992143392563","0.2431992143392563","1262","1262","1262","146.9610595703125","146.9610595703125","146.9610595703125","0.05669580399990082","0.05669580399990082","0.05669580399990082","1262","1262","1262","55.090511322021484","55.090511322021484","55.090511322021484","0.03319643810391426","0.03319643810391426","0.03319643810391426","1450","1260","1640","32.66265640258789","32.03818893432617","33.24795913696289","0.01086203008890152","0.01086203008890152","0.01086203008890152"
"3","2103","2103","2103","318.88262939453125","318.88262939453125","318.88262939453125","0.2431992143392563","0.2431992143392563","0.2431992143392563","2103","2103","2103","73.54454040527344","73.54454040527344","73.54454040527344","0.05669580399990082","0.05669580399990082","0.05669580399990082","2103","2103","2103","21.194717407226562","21.194717407226562","21.194717407226562","0.03319643810391426","0.03319643810391426","0.03319643810391426","2291","2101","2481","8.173198890686034","8.060907363891602","8.361006736755371","0.01086203008890152","0.01086203008890152","0.01086203008890152"
"4","2944","2944","2944","429.703125","429.703125","429.703125","0.2431992143392563","0.2431992143392563","0.2431992143392563","2944","2944","2944","47.318538665771484","47.318538665771484","47.318538665771484","0.05669580399990082","0.05669580399990082","0.05669580399990082","2944","2944","2944","12.13869857788086","12.13869857788086","12.13869857788086","0.03319643810391426","0.03319643810391426","0.03319643810391426","3132","2942","3322","3.2022656440734862","3.1368517875671387","3.272087335586548","0.01086203008890152","0.01086203008890152","0.01086203008890152"
"5","3785","3785","3785","542.1983642578125","542.1983642578125","542.1983642578125","0.2431992143392563","0.2431992143392563","0.2431992143392563","3785","3785","3785","32.379539489746094","32.379539489746094","32.379539489746094","0.05669580399990082","0.05669580399990082","0.05669580399990082","3785","3785","3785","7.373138904571533","7.373138904571533","7.373138904571533","0.03319643810391426","0.03319643810391426","0.03319643810391426","3973","3783","4163","1.596560287475586","1.541994571685791","1.633363962173462","0.01086203008890152","0.01086203008890152","0.01086203008890152"
"6","4626","4626","4626","633.701171875","633.701171875","633.701171875","0.2431992143392563","0.2431992143392563","0.2431992143392563","4626","4626","4626","25.526906967163086","25.526906967163086","25.526906967163086","0.05669580399990082","0.05669580399990082","0.05669580399990082","4626","4626","4626","5.022472381591797","5.022472381591797","5.022472381591797","0.03319643810391426","0.03319643810391426","0.03319643810391426","4814","4624","5004","1.0032695174217223","0.9700655937194824","1.0207563638687134","0.01086203008890152","0.01086203008890152","0.01086203008890152"
"7","5467","5467","5467","753.1527709960938","753.1527709960938","753.1527709960938","0.2431992143392563","0.2431992143392563","0.2431992143392563","5467","5467","5467","18.11351776123047","18.11351776123047","18.11351776123047","0.05669580399990082","0.05669580399990082","0.05669580399990082","5467","5467","5467","3.642479419708252","3.642479419708252","3.642479419708252","0.03319643810391426","0.03319643810391426","0.03319643810391426","5655","5465","5845","0.6137787342071533","0.5990333557128906","0.6206303238868713","0.01086203008890152","0.01086203008890152","0.01086203008890152"
"8","6308","6308","6308","1055.4052734375","1055.4052734375","1055.4052734375","0.2431992143392563","0.2431992143392563","0.2431992143392563","6308","6308","6308","14.561832427978516","14.561832427978516","14.561832427978516","0.05669580399990082","0.05669580399990082","0.05669580399990082","6308","6308","6308","2.6786561012268066","2.6786561012268066","2.6786561012268066","0.03319643810391426","0.03319643810391426","0.03319643810391426","6496","6306","6686","0.43341007828712463","0.41967085003852844","0.44329023361206055","0.01086203008890152","0.01086203008890152","0.01086203008890152"
"9","7149","7149","7149","1259.5238037109375","1259.5238037109375","1259.5238037109375","0.2431992143392563","0.2431992143392563","0.2431992143392563","7149","7149","7149","11.854249954223633","11.854249954223633","11.854249954223633","0.05669580399990082","0.05669580399990082","0.05669580399990082","7149","7149","7149","2.0427329540252686","2.0427329540252686","2.0427329540252686","0.03319643810391426","0.03319643810391426","0.03319643810391426","7337","7147","7527","0.32929556369781493","0.31199097633361816","0.34086328744888306","0.01086203008890152","0.01086203008890152","0.01086203008890152"
"10","7990","7990","7990","1215.606201171875","1215.606201171875","1215.606201171875","0.2431992143392563","0.2431992143392563","0.2431992143392563","7990","7990","7990","9.421319007873535","9.421319007873535","9.421319007873535","0.05669580399990082","0.05669580399990082","0.05669580399990082","7990","7990","7990","1.5989456176757812","1.5989456176757812","1.5989456176757812","0.03319643810391426","0.03319643810391426","0.03319643810391426","8178","7988","8368","0.23422841727733612","0.22743260860443115","0.2446633279323578","0.01086203008890152","0.01086203008890152","0.01086203008890152"
